Currency,Baseline_Accuracy,Full_Set_Accuracy,Difference,Winner
EUR/USD,65.40%,57.35%,-8.05pp,Baseline
GBP/USD,66.79%,57.02%,-9.77pp,Baseline
USD/JPY,61.53%,55.40%,-6.14pp,Baseline
AUD/USD,66.98%,57.26%,-9.72pp,Baseline
USD/CAD,68.60%,57.26%,-11.35pp,Baseline
USD/CHF,65.21%,58.98%,-6.23pp,Baseline
NZD/USD,67.30%,57.12%,-10.19pp,Baseline
EUR/GBP,66.91%,60.42%,-6.50pp,Baseline
EUR/JPY,63.25%,55.36%,-7.89pp,Baseline
EUR/CHF,58.98%,55.82%,-3.16pp,Baseline
EUR/AUD,69.79%,59.77%,-10.02pp,Baseline
EUR/CAD,71.09%,59.63%,-11.46pp,Baseline
GBP/JPY,62.27%,54.85%,-7.42pp,Baseline
GBP/CHF,64.97%,57.40%,-7.56pp,Baseline
GBP/AUD,66.96%,58.52%,-8.45pp,Baseline
GBP/CAD,68.03%,58.14%,-9.88pp,Baseline
AUD/JPY,63.34%,53.36%,-9.98pp,Baseline
USD/ZAR,68.42%,57.02%,-11.40pp,Baseline
USD/SEK,64.65%,56.70%,-7.95pp,Baseline
USD/NOK,63.40%,55.35%,-8.05pp,Baseline
USD/MXN,56.06%,52.90%,-3.16pp,Baseline
USD/TRY,56.28%,47.81%,-8.47pp,Baseline
USD/SGD,70.33%,59.72%,-10.60pp,Baseline
USD/HKD,62.05%,57.81%,-4.23pp,Baseline
USD/HUF,62.37%,55.72%,-6.65pp,Baseline
USD/PLN,69.58%,60.98%,-8.60pp,Baseline
USD/CZK,64.56%,58.60%,-5.95pp,Baseline
