Currency,Baseline_Accuracy_%,Full_Set_Accuracy_%,Difference_pp,Winner,Baseline_Rank,Degradation_Rank
EUR/USD,65.40%,57.35%,-8.05pp,Baseline,13,14
GBP/USD,66.79%,57.02%,-9.77pp,Baseline,12,9
USD/JPY,61.53%,55.40%,-6.14pp,Baseline,24,23
AUD/USD,66.98%,57.26%,-9.72pp,Baseline,9,10
USD/CAD,68.60%,57.26%,-11.35pp,Baseline,5,3
USD/CHF,65.21%,58.98%,-6.23pp,Baseline,14,22
NZD/USD,67.30%,57.12%,-10.19pp,Baseline,8,5
EUR/GBP,66.91%,60.42%,-6.50pp,Baseline,11,21
EUR/JPY,63.25%,55.36%,-7.89pp,Baseline,20,17
EUR/CHF,58.98%,55.82%,-3.16pp,Baseline,25,26
EUR/AUD,69.79%,59.77%,-10.02pp,Baseline,3,6
EUR/CAD,71.09%,59.63%,-11.46pp,Baseline,1,1
GBP/JPY,62.27%,54.85%,-7.42pp,Baseline,22,19
GBP/CHF,64.97%,57.40%,-7.56pp,Baseline,15,18
GBP/AUD,66.96%,58.52%,-8.45pp,Baseline,10,13
GBP/CAD,68.03%,58.14%,-9.88pp,Baseline,7,8
AUD/JPY,63.34%,53.36%,-9.98pp,Baseline,19,7
USD/ZAR,68.42%,57.02%,-11.40pp,Baseline,6,2
USD/SEK,64.65%,56.70%,-7.95pp,Baseline,16,16
USD/NOK,63.40%,55.35%,-8.05pp,Baseline,18,14
USD/MXN,56.06%,52.90%,-3.16pp,Baseline,27,26
USD/TRY,56.28%,47.81%,-8.47pp,Baseline,26,12
USD/SGD,70.33%,59.72%,-10.60pp,Baseline,2,4
USD/HKD,62.05%,57.81%,-4.23pp,Baseline,23,25
USD/HUF,62.37%,55.72%,-6.65pp,Baseline,21,20
USD/PLN,69.58%,60.98%,-8.60pp,Baseline,4,11
USD/CZK,64.56%,58.60%,-5.95pp,Baseline,17,24
